CTV3ID,CTV3PreferredTermDesc,CTV3Source
X200b,Accelerated coronary artery disease in transplanted heart,CTV3_Children
79000,Allotransplant of heart and lung,CTV3Map_Code_And_Term
79010,Allotransplantation of heart NEC,CTV3Map_Code_And_Term
X00s4,Bilateral sequential single lung transplant,CTV3_Children
XaYR1,Bronchiolitis obliterans syndrome after lung transplantation,CTV3Map_Code_And_Term
X202u,Cardiac transplant disorder,CTV3_Children
X202w,Cardiac transplant failure,CTV3_Children
X202v,Cardiac transplant rejection,CTV3_Children
XaJJv,Cardiothoracic transplantation,CTV3Map_Code_And_Term
XSC3p,Complication of transplanted lung,CTV3Map_Code_And_Term
X00s2,Double lung transplant,CTV3Map_Code_And_Term
X00s3,Double lung transplant as a block,CTV3_Children
14S3.,H/O: heart recipient,CTV3Map_Code_And_Term
14S8.,H/O: liver recipient,CTV3Map_Code_And_Term
14S9.,H/O: lung recipient,CTV3Map_Code_And_Term
7900.,Heart and lung transplant,CTV3Map_Code_And_Term
SP084,Heart transplant failure and rejection,CTV3Map_Code_And_Term
TB000,"Heart transplant with complication, without blame",CTV3Map_Code_And_Term
SP085,Heart-lung transplant failure and rejection,CTV3Map_Code_And_Term
79013,Heterotopic allotransplant of heart,CTV3Map_Code_And_Term
78001,Heterotopic liver transplant,CTV3Map_Code_And_Term
7800.,Liver transplant,CTV3Map_Code_And_Term
X307x,Liver transplant disorder,CTV3_Children
X307z,Liver transplant failure,CTV3_Children
SP086,Liver transplant failure and rejection,CTV3Map_Code_And_Term
X307y,Liver transplant rejection,CTV3_Children
TB002,"Liver transplant with complication, without blame",CTV3Map_Code_And_Term
7450.,Lung transplant,CTV3Map_Code_And_Term
XaDya,Lung transplant disorder,CTV3_Children
XaDyb,Lung transplant rejection,CTV3_Children
78000,Orthotopic liver transplant,CTV3Map_Code_And_Term
XaMMe,Orthotopic transplantation of liver NEC,CTV3Map_Code_And_Term
XaLdf,Orthotopic transplantation of whole liver,CTV3Map_Code_And_Term
7901y,Other specified other transplantation of heart,CTV3Map_Code_And_Term
7900y,Other specified transplantation of heart and lung,CTV3_Children
7800y,Other specified transplantation of liver,CTV3Map_Code_And_Term
7450y,Other specified transplantation of lung,CTV3Map_Code_And_Term
7830y,Other specified transplantation of pancreas,CTV3_Children
7901.,Other transplantation of heart,CTV3Map_Code_And_Term
7901z,Other transplantation of heart NOS,CTV3Map_Code_And_Term
7830.,Pancreatic transplant,CTV3Map_Code_And_Term
Xa0Pz,Part organ pancreatic transplant,CTV3_Children
78002,Replacement of previous liver transplant,CTV3Map_Code_And_Term
79001,Revision of transplantation of heart and lung,CTV3_Children
79015,Revision of transplantation of heart NEC,CTV3Map_Code_And_Term
XaLcH,Single lobe lung transplant,CTV3_Children
X00s1,Single lung transplant,CTV3Map_Code_And_Term
7800z,Transplantation of liver NOS,CTV3Map_Code_And_Term
7450z,Transplantation of lung NOS,CTV3Map_Code_And_Term
79011,Xenotransplant of heart,CTV3Map_Code_And_Term
XaLdb,Allotransplantation of ileum,CTV3_Children
Xaat6,Allotransplantation of stomach,CTV3_Children
XaLdc,Other specified transplantation of ileum,CTV3_Children
7900z,Transplantation of heart and lung NOS,CTV3Map_Code_And_Term
XaLda,Transplantation of ileum,CTV3Map_Code_And_Term
XaLdd,Transplantation of ileum NOS,CTV3_Children
78300,Transplantation of pancreas and duodenum,CTV3_Children
7830z,Transplantation of pancreas NOS,CTV3Map_Code_And_Term
Xaat5,Transplantation of stomach,CTV3Map_Code_And_Term
78302,Transplantation of tail of pancreas,CTV3Map_Code_And_Term
78301,Whole organ pancreatic transplant,CTV3Map_Code_And_Term
ZV421,[V]Heart transplanted,CTV3Map_Code_And_Term
ZV427,[V]Liver transplanted,CTV3Map_Code_And_Term
ZV426,[V]Lung transplanted,CTV3Map_Code_And_Term
X78FE,Post-transplant neoplasia,CTV3_Children
ZV42.,[V]Transplanted organ or tissue,CTV3Map_Code_And_Term
XE1pM,[X]Failure & rejection of other transplanted organ & tissue,CTV3_Children
XC0CV,Transplant,High_Level_SNOMED
XM0Bl,Transplant disorder,CTV3Map_Code_And_Term
8HBB.,Transplant follow-up,CTV3Map_Code_And_Term
8C31.,Transplant immunosuppression,CTV3Map_Code_And_Term
XaJJo,Transplantation surgery,CTV3Map_Code_And_Term
SP08.,Transplanted organ complication,CTV3Map_Code_And_Term
SP08z,Transplanted organ complication NOS,CTV3Map_Code_And_Term
XE1p5,Transplanted organ failure,CTV3Map_Code_And_Term
SP081,Transplanted organ rejection,CTV3Map_Code_And_Term
